timestamp,speaker,words,tags
,Sylvia Feghali,Would love to hear what your experience has been with this instagram page and your organization more broadly,
,LF,"So L-F started actually as a side and passion project in 2016. I had a friend of mine, she is the co-founder. We both met when we were working as journalists before, between 2011-2013, this is how we met. Then both of us left, came back. I was in Lebanon just freelancing, and she came to me and wasa like, “hey, both of us love journalism but hate media– haha in Lebanon, kind of- so why don’t we create our own media?” And my first answer was like, no, haha, because I know how much it costs haha nad how much time. She wanted a website, and I'm like, for having done some websites while I was in the U.S., I know how much work it is to create a website and to maintain a website. So I was like no, we’re not going to create a website. So she was like, “okay why don’t we just start with an instagram page?” And I'm like Okay, here we might have something I was in the US between 2015-2016 and that was the time where there was the everyday features that started. Do you know the everyday pages?",place
,LF,"So Everyday Africa, Everyday Mental Health, Everyday Nigeria, you name it, are basically accounts on Instagram that were started by photographers who wanted to show a different side of news, especially in Africa, because usually, when you talk about Africa, you talk about misery and war, and these photographers who were living there wanted to show the other side of the coin, they wanted to show daily life, this kind of stuff. So I knew from my experience in the States that there was some niche being carved for news that are not like, hardcore news, but more for daily life stuff and that are driven mainly by photographers or at least by photography.",
,LF,"So we started L-F exclusively on social media, so: Instagram, Facebook. So we designed it for social media, etc. And the whole idea was to show the people who are trying to change Lebanon, to inspire others to do the same, and to build bridges between Community.",place; bridging; futurity
,LF,"We were surrounded by social entrepreneurs and by entrepreneurs etc. who were doing stuff, and you never hear about them in the news, so we wanted to talk about them And this is what we did for quite a long time.",bridging; collaboration; barriers
[00:03:42],LF,"So we wanted to talk about them, and this is what we did for quite a long time and on instagram and Facebook. We also wanted to have just pure basic facts about Lebanon, because most of these people don't really know their country and, anyway, sometimes when you read the news you don't even understand what's the fact you just see an analysis or an opinion on something, and you don't know what is actually the fact. We were like what the heck haha so this is what we tried to do on Instagram and Facebook.",truth
[00:04:09],LF,"So in 2016 it was a side project for both of us. 2017 we got in contact with a Social entreprise accelerator called ‘makes sense’ it's a French organization and there are the first ones who told us, “hey I think we can help you make money out of this.”",
[00:04:20],LF,"So in 2017 we entered the whole ecosystem make acceleration and social entrepreneur system that was developing in Lebanon, and we, we got some grants, we won some competition and we figured out how we could try to monetize it.",
[00:04:37],LF,"And so we had some we came up with a business model, we went full time with that, we started recruiting some people, mostly interns but also some juniors.",
[00:04:46],LF,"And in 2018 we incorporated the company and for the first time, we launched our website, because for the first time we had a long form investigation. Like for two or three years, everyone was telling us you need to have a website and I was like no. Like there is no need, we were designing the product for instagram and Facebook and there isn't a need for a website. But then in 2018 we did an investigation on mental health and we at least wanted one platform where everything was in the same place, knowing that we always first design the content for social media and then for the website.",place
[00:05:27],LF,"And then the second year 2019 we actually worked on an investigation– Oh, by the way the investigation went viral– the mental health one like it we reach hundreds of thousands of people, knowing that our following basis 20,000 max so. That was cool actually.",bridging
[00:05:45],LF,"And so 2019 we worked on another investigation, which was about sexuality in Lebanon, like how, especially young people have sex. We started publishing in October.... Then the 17 of October the protests started. So obviously we put it on hold and went covering- for the first time we did news- we never did news before.",
