timestamp,speaker,words,tags
[00:00:02],Sylvia,"Super. So the goal of my research really is to understand the character of kind of um Lebanese community organizing that's happening through the Instagram space. So I'm a master student in geography, and i'm studying space in the sense that, we're creating spaces in this digital world that also inform our lives outside of the digital world.",
[00:00:31],SF,"And I see this happening a lot with Lebanese community that it takes a very interesting form, because it's so transnational. But there are also really important specific places that it impacts. For example, thinking about Beirut and the port explosion, or thinking about the Revolution, and how that shows up in different places around the world. There's this culminating space that I saw on Instagram. So i'm trying to get a sense of what's going on, what's going on in this space, And particularly i'm looking between 2019 and 2020 through these big events.",
[00:01:10],SF,"Part of my methods are looking at posts and comments and captions. But i'm also really interested in people, the you know, real people behind the accounts. And so that's why I reached out for an interview. So that's my project. Do you have any questions for me?",
[00:01:30],CS,"I just want to clarify, because it's cutting off, are you gathering information from the NGO TLB point of view or from the individual point of view, as in the person behind uh the people behind the organization or us in personal life?",
[00:02:01],SF,"Hmm. Well, I mean a little everything. However, I am reaching out to you through  the organization and I'll be talking to you about the account.",
[00:02:28],CS,"So uh, as in, like, I said behind the account, Right?",
[00:02:30],SF,Yeah.,
[00:02:35],CS,"okay, Great. So like TLB as the ngo.",
[00:02:45],SF,"Yeah. And actually, maybe before we dive into my questions, I could ask you, how did the Ngo get started?",
[00:02:48],CS,"Of course. All right. So the Ngo started back in beginning 2020, just when the economic collapse was starting to. Uh, arise if you want, was starting to, was beginning, and the Board members, who are six people uh who kind of have the extensive experience in the Ngo development, and uh, as powerful network and um connections with experts and private donors decided to come together to found uh the this organization as a collaborative platform in order to help the local Ngos respond to the crisis. So that's how the story started. They came together, six members, and they decided to connect the Lebanese diaspora e to the local Ngos here, working on the ground.",bridging; collaboration; place; 
[00:03:48],CS,"What happened is when, right after the explosion happened, they had to accelerate and start the intervention. So they were registered, as i'm saying, they because I joined them a bit later myself.",
